"ID","Year of first issue","Day/month of first issue","Date of last issue","Title","Place of publication","Owners/ publishers/ editors","Comments","Source","Holdings"
"t1r1",1799,"15 Dec.",1800,"La décade égyptienne","Cairo","French army; Organ of the Institut d’Égypte","in French with some parts in Arabic","","BL:1799-1800, 3 vols, reprint Beirut, BnF: online"
"t1r2","*1800","","","*Al-Tanbīh","*Cairo","French army","proposed journal in Arabic by General Menou in the last years of the French occupation (proposed editor: Shaykh Ismāʿīl al-Khashshāb) – never realised","Boustany, “The Press During the French Expedition in Egypt 1798-1801,” 27, Ṭ = Alexandria",""
"t1r3",1813,"","1822?","Al-Jūrnāl al-Khudaywī / al-Khidīwī","Cairo","Egyptian government, Muḥammad ʿAlī Pasha","bulletin with limited circulation in Ottoman Turkish and Arabic, handwritten, then lithography. ʿAbd: established in 1822 and remained in publication even after 1828","S",""
"t1r4",1816,"","?","Jūrnāl al-ʿIrāq","Baghdad","Dāʾūd Pasha al-Kirjī (Ottoman wālī)","Ottoman Turkish and Arabic","No evidence of its publication",""
"t1r5",1828,"3 Dec.","until today","Waqāʾiʿ-i Miṣriyye/Waqāyiʿ Miṣriyya then Al-Waqāʾiʿ al-Miṣriyya","Būlāq then Cairo 1833","Government / Dīwān al-Madāris","First in Ottoman Turkish and Arabic, later only Arabic","","DKQ, Zagh, BL, IÜ, DKQM: almost complete, AKI: 1263, 1265-7, BnF: from nr. 3 (5 January 1829) (cote: Res GR Fol NFZ 13), AUC, Yale."
"t1r6",1834,"","15 issues","Al-Jarīda al-ʿAskariyya","Cairo","Government / Dīwān al-Jihādiyya","paper of the army; ʿAbd: established in 1833","",""
"t1r7","1839?","","well into the 20th century","L’Akhbar","Algiers","Victor Barruland","French, French and Arabic","one issue from 12 July 1839, S","BnF, BnA, Stan: 1905, 1906-1928 (call no:  NEWS COLL. ALGERIA 1905:DEC.24-1906)"
"t1r8",1847,"15 Sept.","1926;1960s?","Al-Mubashshir","Algiers","official","Arabic and French lithograph; 1850 typography","Ṭ, S","BL: 1864, 1867, 1894-99, BnF: 1847-, (cote: JO 3033 [BIS]), BnA"
"t1r9",1848,"25 Oct.",1849,"Al-Ḥawādith al-Tijāriyya wa’l-Iʿlānāt al-Malikiyya","Cairo","official","Became Taqwīm al-Akhbār wa’l-Ḥawādith al-Tijāriyya wa’l-Iʿlānāt al-Malikiyya. ʿAbd: al-Jarīda al-Tijāriyya al-Zirāʿiyya established in 1848","S; Ṭ gives different title",""
"t1r10",1848,"? Nov.","21 February 1849, 13 issues","Taqwīm al-Akhbār ʿan al-Ḥawādith al-Tijāriyya wa’l-Iʿlānāt al-Malikiyya","Cairo","official","","S",""
